,0
0,n02119789
1,n02100735
2,n02110185
3,n02096294
4,n02102040
5,n02066245
6,n02509815
7,n02124075
8,n02417914
9,n02123394
10,n02125311
11,n02423022
12,n02346627
13,n02077923
14,n02110063
15,n02447366
16,n02109047
17,n02089867
18,n02102177
19,n02091134
20,n02092002
21,n02071294
22,n02442845
23,n02504458
24,n02092339
25,n02098105
26,n02096437
27,n02114712
28,n02105641
29,n02128925
30,n02091635
31,n02088466
32,n02096051
33,n02117135
34,n02138441
35,n02097130
36,n02493509
37,n02457408
38,n02389026
39,n02443484
40,n02110341
41,n02089078
42,n02086910
43,n02445715
44,n02093256
45,n02113978
46,n02106382
47,n02441942
48,n02113712
49,n02113186
50,n02105162
51,n02415577
52,n02356798
53,n02488702
54,n02123159
55,n02098413
56,n02422699
57,n02114855
58,n02094433
59,n02111277
60,n02132136
61,n02119022
62,n02091467
63,n02106550
64,n02422106
65,n02091831
66,n02120505
67,n02104365
68,n02086079
69,n02112706
70,n02098286
71,n02095889
72,n02484975
73,n02137549
74,n02500267
75,n02129604
76,n02090721
77,n02396427
78,n02108000
79,n02391049
80,n02412080
81,n02108915
82,n02480495
83,n02110806
84,n02128385
85,n02107683
86,n02085936
87,n02094114
88,n02087046
89,n02100583
90,n02096177
91,n02494079
92,n02105056
93,n02101556
94,n02123597
95,n02481823
96,n02105505
97,n02088094
98,n02085782
99,n02489166
100,n02364673
101,n02114548
102,n02134084
103,n02480855
104,n02090622
105,n02113624
106,n02093859
107,n02403003
108,n02097298
109,n02108551
110,n02493793
111,n02107142
112,n02096585
113,n02107574
114,n02107908
115,n02086240
116,n02102973
117,n02112018
118,n02093647
119,n02397096
120,n02437312
121,n02483708
122,n02097047
123,n02106030
124,n02099601
125,n02093991
126,n02110627
127,n02106166
128,n02326432
129,n02108089
130,n02097658
131,n02088364
132,n02111129
133,n02100236
134,n02486261
135,n02115913
136,n02486410
137,n02487347
138,n02099849
139,n02108422
140,n02104029
141,n02492035
142,n02110958
143,n02099429
144,n02094258
145,n02099267
146,n02395406
147,n02112350
148,n02109961
149,n02101388
150,n02113799
151,n02095570
152,n02128757
153,n02101006
154,n02115641
155,n02097209
156,n02342885
157,n02097474
158,n02120079
159,n02095314
160,n02088238
161,n02408429
162,n02133161
163,n02328150
164,n02410509
165,n02492660
166,n02398521
167,n02112137
168,n02510455
169,n02093428
170,n02105855
171,n02111500
172,n02085620
173,n02123045
174,n02490219
175,n02099712
176,n02109525
177,n02454379
178,n02111889
179,n02088632
180,n02090379
181,n02443114
182,n02361337
183,n02105412
184,n02483362
185,n02437616
186,n02107312
187,n02325366
188,n02091032
189,n02129165
190,n02102318
191,n02100877
192,n02074367
193,n02504013
194,n02363005
195,n02102480
196,n02113023
197,n02086646
198,n02497673
199,n02087394
200,n02127052
201,n02116738
202,n02488291
203,n02091244
204,n02114367
205,n02130308
206,n02089973
207,n02105251
208,n02134418
209,n02093754
210,n02106662
211,n02444819
212,n01882714
213,n01871265
214,n01872401
215,n01877812
216,n01873310
217,n01883070
218,n04086273
219,n04507155
220,n04147183
221,n04254680
222,n02672831
223,n02219486
224,n02317335
225,n01968897
226,n03452741
227,n03642806
228,n07745940
229,n02690373
230,n04552348
231,n02692877
232,n02782093
233,n04266014
234,n03344393
235,n03447447
236,n04273569
237,n03662601
238,n02951358
239,n04612504
240,n02981792
241,n04483307
242,n03095699
243,n03673027
244,n03947888
245,n02687172
246,n04347754
247,n04606251
248,n03478589
249,n04389033
250,n03773504
251,n02860847
252,n03218198
253,n02835271
254,n03792782
255,n03393912
256,n03895866
257,n02797295
258,n04204347
259,n03791053
260,n03384352
261,n03272562
262,n04310018
263,n02704792
264,n02701002
265,n02814533
266,n02930766
267,n03100240
268,n03594945
269,n03670208
270,n03770679
271,n03777568
272,n04037443
273,n04285008
274,n03444034
