wnid,noun
n00001740,entity
n00001930,physical entity
n00002137,abstraction
n00002137,abstract entity
n00002452,thing
n00002684,object
n00002684,physical object
n00003553,whole
n00003553,unit
n00003993,congener
n00004258,living thing
n00004258,animate thing
n00004475,organism
n00004475,being
n00005787,benthos
n00005930,dwarf
n00006024,heterotroph
n00006150,parent
n00006269,life
n00006400,biont
n00006484,cell
n00007347,causal agent
n00007347,cause
n00007347,causal agency
n00007846,person
n00007846,individual
n00007846,someone
n00007846,somebody
n00007846,mortal
n00007846,soul
n00015388,animal
n00015388,animate being
n00015388,beast
n00015388,brute
n00015388,creature
n00015388,fauna
n00017222,plant
n00017222,flora
n00017222,plant life
n00019046,native
n00019128,natural object
n00019613,substance
n00020090,substance
n00020827,matter
n00021265,food
n00021265,nutrient
n00021734,nutrient
n00021939,artifact
n00021939,artefact
n00022903,article
n00023100,psychological feature
n00023271,cognition
n00023271,knowledge
n00023271,noesis
n00023773,motivation
n00023773,motive
n00023773,need
n00024264,attribute
n00024720,state
n00026192,feeling
n00027167,location
n00027807,shape
n00027807,form
n00028270,time
n00028651,space
n00028651,infinite
n00029007,absolute space
n00029114,phase space
n00029378,event
n00029677,process
n00029677,physical process
n00030358,act
n00030358,deed
n00030358,human action
n00030358,human activity
n00031264,group
n00031264,grouping
n00031921,relation
n00032613,possession
n00032823,social relation
n00033020,communication
n00033615,measure
n00033615,quantity
n00033615,amount
n00034213,phenomenon
n00034479,thing
n00034574,kindness
n00034574,benignity
n00034777,abdominoplasty
n00034777,tummy tuck
n00034939,abort
n00035189,accomplishment
n00035189,achievement
n00035697,agon
n00035891,alienation
n00036061,application
n00036299,beachhead
n00036299,foothold
n00036580,cakewalk
n00036762,feat
n00036762,effort
n00036762,exploit
n00037006,masterpiece
n00037090,masterstroke
n00037200,credit
n00037396,action
n00038175,res gestae
n00038262,course
n00038262,course of action
n00038573,blind alley
n00038863,collision course
n00039021,interaction
n00039211,interplay
n00039297,contact
n00039545,brush
n00039740,eye contact
n00039916,fetch
n00039990,placement
n00040152,interchange
n00040152,reciprocation
n00040152,give-and-take
n00040420,reciprocity
n00040545,cross-fertilization
n00040545,cross-fertilisation
n00040804,dealings
n00040804,traffic
n00040962,relation
n00041188,playing
n00041468,play
n00041468,swordplay
n00041614,boondoggle
n00041740,bowling
n00041899,acquiring
n00041899,getting
n00042311,causing
n00042311,causation
n00042541,delivery
n00042541,obstetrical delivery
n00042757,departure
n00042757,going
n00042757,going away
n00042757,leaving
n00043116,derring-do
n00043195,discovery
n00043195,find
n00043195,uncovering
n00043609,disposal
n00043609,disposition
n00043902,hit
n00044150,implementation
n00044150,effectuation
n00044455,egress
n00044455,egression
n00044455,emergence
n00044673,equalization
n00044673,equalisation
n00044673,leveling
n00044900,exhumation
n00044900,disinterment
n00044900,digging up
n00045114,mitzvah
n00045114,mitsvah
n00045250,propulsion
n00045250,actuation
n00045646,rally
n00045646,rallying
n00045907,recovery
n00045907,retrieval
n00046177,running away
n00046344,stunt
n00046522,touch
n00046522,touching
n00047018,tour de force
n00047106,performance
n00047356,overachievement
n00047550,underachievement
n00047745,record
n00047745,track record
n00047941,fait accompli
n00047941,accomplished fact
n00048051,going
n00048051,sledding
n00048225,arrival
n00048225,reaching
n00048374,arrival
n00048656,attainment
n00048828,advent
n00048828,coming
n00049003,entrance
n00049003,entering
n00049003,entry
n00049003,ingress
n00049003,incoming
n00049344,incursion
n00049530,intrusion
n00049636,irruption
n00049789,entree
n00049909,entail
n00050037,registration
n00050037,enrollment
n00050037,enrolment
n00050195,appearance
n00050484,apparition
n00050693,emergence
n00050693,emersion
n00050887,reappearance
n00050887,return
n00051077,comeback
n00051192,return
n00051192,homecoming
n00051385,repatriation
n00051525,penetration
n00051712,interpenetration
n00051712,permeation
n00051897,market penetration
n00052052,anchorage
n00052146,docking
n00052146,moorage
n00052146,dockage
n00052146,tying up
n00052334,landing
n00052500,landing
n00052791,forced landing
n00052791,emergency landing
n00053020,breaking away
n00053097,farewell
n00053097,leave
n00053097,leave-taking
n00053097,parting
n00053405,french leave
n00053525,valediction
n00053609,disappearance
n00053609,disappearing
n00053806,vanishing
n00053913,withdrawal
n00054328,effacement
n00054328,self-effacement
n00054483,retreat
n00054652,retirement
n00054652,retreat
n00054821,evacuation
n00055038,medical evacuation
n00055038,medevac
n00055038,medivac
n00055227,decampment
n00055315,desertion
n00055315,abandonment
n00055315,defection
n00055633,abscondment
n00055633,decampment
n00055793,absence without leave
n00055793,unauthorized absence
n00055932,deviationism
n00056087,emigration
n00056087,out-migration
n00056087,expatriation
n00056311,immigration
n00056311,in-migration
n00056551,aliyah
n00056688,pullback
n00056912,retreat
n00057162,standdown
n00057162,stand-down
n00057306,disengagement
n00057306,fallback
n00057306,pullout
n00057486,receding
n00057486,recession
n00057657,sailing
n00057748,amphibious landing
n00058002,debarkation
n00058002,disembarkation
n00058002,disembarkment
n00058247,going ashore
n00058337,boarding
n00058337,embarkation
n00058337,embarkment
n00058519,exit
n00058608,elopement
n00058743,escape
n00058743,flight
n00059127,evasion
n00059376,slip
n00059376,elusion
n00059376,eluding
n00059552,maneuver
n00059552,manoeuvre
n00059552,evasive action
n00059728,clinch
n00059895,dodge
n00059989,break
n00059989,breakout
n00059989,jailbreak
n00059989,gaolbreak
n00059989,prisonbreak
n00059989,prison-breaking
n00060201,getaway
n00060201,lam
n00060414,exodus
n00060414,hegira
n00060414,hejira
n00060548,hegira
n00060548,hejira
n00060747,skedaddle
n00060817,underground railroad
n00060817,underground railway
